level,label,default_effectiveness,default_extra_spread,default_volume
0,Open,0.0000,0.0043,20
1,1 night quarantine,0.7010,0.0028,20
2,5 night quarantine,0.9180,0.0038,20
3,14 day quarantine (with pre-flight PCR),0.9990,0.0074,5
4,14-day quarantine (status quo),0.9990,0.0130,0
