level,label,default_effectiveness,default_extra_spread,default_volume
0,Open,0.0000,0.0043,50
1,1 night quarantine,0.7010,0.0030,50
2,5 night quarantine,0.9180,0.0048,25
3,14 day quarantine (with pre-flight PCR),0.9990,0.0101,20
4,14-day quarantine (status quo),0.9990,0.0179,0
