level,label,default_effectiveness,default_extra_spread,default_volume,default_max_prevalence_p_m,level_label
0,Open,0.0000,0.0009,20,0,Covid-free
1,1 night quarantine,0.7010,0.0012,20,10,Level 1
2,5 night quarantine,0.9180,0.0037,20,100,Level 2
3,14 day quarantine (with pre-flight PCR),0.9990,0.0096,5,1000,Level 3
4,14-day quarantine (status quo),0.9990,0.0174,0,,Level 4
